id,owner,price,name,description,time,status
0,kevinthuhstink,7,Water,A plastic water bottle.,1709879300066,none
2,kevinthuhstink,4,Teapot,Durable stoneware teapot,1709879390435,none
3,kevinthuhstink,450,Music,All music on sale for cheap,1709879450419,none
4,root,141,atbcqlhjlirsbp,root randomly generated catalog item,1711291998000,
5,root,353,dtzvmfrzkjzlmelw,root randomly generated catalog item,1711291998000,
6,root,106,sgefkjfzhex,root randomly generated catalog item,1711291998000,
7,root,494,wfcdvbsl,root randomly generated catalog item,1711291998000,
8,root,272,ihjkkgpjfgln,root randomly generated catalog item,1711291998000,
9,root,435,pyrbhynmcqb,root randomly generated catalog item,1711291998000,
10,root,93,xblbpjzlajfonzx,root randomly generated catalog item,1711291998000,
11,root,32,orrjajnzrjxurccu,root randomly generated catalog item,1711291998000,
